City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
279,Ko Samui,TH,9.5357,99.9357,80.51,89,20,0.0,moderate rain
280,Srivardhan,IN,18.0333,73.0167,77.83,93,100,7.4,overcast clouds
281,Gouyave,GD,12.1646,-61.7296,81.37,78,20,3.44,few clouds
282,Kieta,PG,-6.2167,155.6333,84.16,65,5,4.07,clear sky
283,Bethel,US,41.3712,-73.414,67.17,88,100,4.61,overcast clouds
284,Charlestown,AU,-32.95,151.6667,66.11,52,0,3.0,clear sky
285,Cotonou,BJ,6.3654,2.4183,76.53,89,96,11.97,light rain
286,Yumen,CN,40.2833,97.2,65.89,26,0,11.61,clear sky
287,Grindavik,IS,63.8424,-22.4338,46.87,81,0,6.91,clear sky
288,Grand-Santi,GF,4.25,-54.3833,72.09,97,50,2.77,scattered clouds
289,Katsuura,JP,35.1333,140.3,78.21,82,97,19.08,overcast clouds
290,Boa Vista,BR,2.8197,-60.6733,80.58,86,40,10.36,scattered clouds
291,Westport,US,41.1415,-73.3579,68.43,89,100,3.44,overcast clouds
292,Byron Bay,AU,-28.65,153.6167,69.94,58,100,2.71,overcast clouds
293,Ust-Nera,RU,64.5667,143.2,39.04,67,100,4.43,overcast clouds
294,Ulety,RU,51.3572,112.4849,56.3,61,94,3.09,overcast clouds
295,Flin Flon,CA,54.7682,-101.865,62.73,34,0,3.29,clear sky
296,Thunder Bay,CA,48.4001,-89.3168,57.18,82,20,2.3,few clouds
297,Kaeo,NZ,-35.1,173.7833,60.91,86,62,16.22,broken clouds
298,Hobyo,SO,5.3505,48.5268,75.92,88,69,21.79,broken clouds
299,Boddam,GB,57.4667,-1.7833,58.48,97,100,21.45,overcast clouds
300,Petrolina,BR,-9.3986,-40.5008,78.85,36,0,8.05,clear sky
301,Kaitangata,NZ,-46.2817,169.8464,56.62,51,100,2.08,light rain
302,Bengkulu,ID,-3.8004,102.2655,78.28,75,99,2.71,overcast clouds
303,Talnakh,RU,69.4865,88.3972,38.21,92,100,12.17,light rain
304,Clyde River,CA,70.4692,-68.5914,37.63,100,100,6.91,mist
305,Port Lincoln,AU,-34.7333,135.8667,54.48,82,100,8.37,overcast clouds
306,Suntar,RU,62.1444,117.6319,48.54,65,100,5.86,overcast clouds
307,Faanui,PF,-16.4833,-151.75,79.12,69,2,15.19,clear sky
308,Lardos,GR,36.0942,28.0157,77.95,76,0,9.91,clear sky
309,Rafai,CF,4.95,23.9167,67.3,99,98,2.82,overcast clouds
310,Cocachacra,PE,-17.0883,-71.7575,58.87,84,100,5.26,overcast clouds
311,Saurimo,AO,-9.6608,20.3916,68.83,64,24,4.34,few clouds
312,Evanston,US,42.0411,-87.6901,60.91,92,100,16.11,overcast clouds
313,Joensuu,FI,62.6012,29.7632,48.69,87,0,2.3,clear sky
314,Fairbanks,US,64.8378,-147.7164,62.94,51,100,5.75,overcast clouds
315,Hearst,CA,49.6835,-83.6665,50.25,73,50,0.85,scattered clouds
316,Mogadishu,SO,2.0371,45.3438,75.87,86,76,15.08,broken clouds
317,Ostrovnoy,RU,68.0531,39.5131,47.55,96,100,4.38,moderate rain
318,Loreto,MX,22.2667,-101.9667,67.86,49,64,16.53,broken clouds
319,Erpeli,RU,42.8058,46.9773,54.72,69,0,5.41,clear sky
320,Linares,CL,-35.85,-71.6,50.47,79,100,0.47,overcast clouds
321,Umirim,BR,-3.6772,-39.3503,76.12,81,91,7.72,overcast clouds
322,Salcininkai,LT,54.3,25.3833,50.09,98,100,9.46,overcast clouds
323,Mikhaylovka,RU,50.06,43.2379,53.71,45,100,12.17,overcast clouds
324,Daitari,IN,21.1,85.75,74.07,93,100,3.2,moderate rain
325,Kushiro,JP,42.975,144.3747,70.75,83,75,9.22,broken clouds
326,Roma,US,43.2128,-75.4557,66.38,94,100,4.61,overcast clouds
327,Lasa,IT,46.6166,10.7002,56.28,74,0,2.73,clear sky
328,Namatanai,PG,-3.6667,152.4333,84.56,57,68,8.97,broken clouds
329,Myanaung,MM,18.2833,95.3167,75.67,94,100,4.12,overcast clouds
330,Yelovo,RU,57.0538,54.9207,46.49,90,100,3.4,overcast clouds
331,Carutapera,BR,-1.195,-46.02,78.51,81,8,7.2,clear sky
332,Srednekolymsk,RU,67.45,153.6833,41.49,89,100,10.83,overcast clouds
333,Kavieng,PG,-2.5744,150.7967,84.43,62,28,15.14,scattered clouds
334,Gunjur,GM,13.2019,-16.7339,80.26,81,100,7.16,light rain
335,Nyahururu,KE,0.0421,36.3673,50.92,81,72,3.6,broken clouds
336,Chapais,CA,49.7834,-74.8492,62.38,93,100,4.83,overcast clouds
337,Lisakovsk,KZ,52.5369,62.4936,43.59,76,50,4.7,scattered clouds
338,Colares,PT,38.7992,-9.4469,72.34,80,100,11.99,light rain
339,Winslow,US,35.0242,-110.6974,80.78,41,0,12.66,clear sky
340,Nuuk,GL,64.1835,-51.7216,48.81,76,20,29.93,few clouds
341,Kuching,MY,1.55,110.3333,80.82,83,20,1.99,few clouds
342,Gigmoto,PH,13.7796,124.39,84.81,73,100,7.63,overcast clouds
343,Valparaiso,CL,-33.0393,-71.6273,54.48,100,20,3.44,few clouds
344,Nazret,ET,8.55,39.2667,59.43,91,88,4.83,light rain
345,Martapura,ID,-3.4167,114.85,82.49,78,0,4.61,clear sky
